title,year,score,runtime,rating,genre,gross,director
"
1.
Jungle Cruise
(2021)
",(2021),6.6,127 min,PG-13,"
Action, Adventure, Comedy            ","207,600","
    Director:
Jaume Collet-Serra
| 
    Stars:
Dwayne Johnson, 
Emily Blunt, 
Edgar Ramírez, 
Jack Whitehall
"
"
2.
Black Widow
(2021)
",(2021),6.7,134 min,PG-13,"
Action, Adventure, Sci-Fi            ","414,745","
    Director:
Cate Shortland
| 
    Stars:
Scarlett Johansson, 
Florence Pugh, 
David Harbour, 
Rachel Weisz
"
"
3.
Raya and the Last Dragon
(2021)
",(2021),7.3,107 min,PG,"
Animation, Action, Adventure            ","166,832","
    Directors:
Don Hall, 
Carlos López Estrada, 
Paul Briggs, 
John Ripa
| 
    Stars:
Kelly Marie Tran, 
Awkwafina, 
Gemma Chan, 
Izaac Wang
"
"
4.
Soul
(2020)
",(2020),8,100 min,PG,"
Animation, Adventure, Comedy            ","364,770","
    Directors:
Pete Docter, 
Kemp Powers
| 
    Stars:
Jamie Foxx, 
Tina Fey, 
Graham Norton, 
Rachel House
"
"
5.
Artemis Fowl
(2020)
",(2020),4.3,95 min,PG,"
Adventure, Family, Fantasy            ","30,097","
    Director:
Kenneth Branagh
| 
    Stars:
Ferdia Shaw, 
Lara McDonnell, 
Josh Gad, 
Tamara Smart
"
"
6.
Mulan
(2020)
",(2020),5.8,115 min,PG-13,"
Action, Adventure, Drama            ","156,920","
    Director:
Niki Caro
| 
    Stars:
Liu Yifei, 
Donnie Yen, 
Gong Li, 
Jet Li
"
"
7.
Onward
(I) (2020)
",(I) (2020),7.4,102 min,PG,"
Animation, Action, Adventure            ","165,156","
    Director:
Dan Scanlon
| 
    Stars:
Tom Holland, 
Chris Pratt, 
Julia Louis-Dreyfus, 
Octavia Spencer
"
"
8.
Star Wars: The Rise Of Skywalker
(2019)
",(2019),6.4,141 min,PG-13,"
Action, Adventure, Fantasy            ","482,266","
    Director:
J.J. Abrams
| 
    Stars:
Daisy Ridley, 
John Boyega, 
Oscar Isaac, 
Adam Driver
"
"
9.
Frozen II
(2019)
",(2019),6.8,103 min,PG,"
Animation, Adventure, Comedy            ","189,125","
    Directors:
Chris Buck, 
Jennifer Lee
| 
    Stars:
Kristen Bell, 
Idina Menzel, 
Josh Gad, 
Jonathan Groff
"
"
10.
Maleficent: Mistress of Evil
(2019)
",(2019),6.6,119 min,PG,"
Adventure, Family, Fantasy            ","116,036","
    Director:
Joachim Rønning
| 
    Stars:
Angelina Jolie, 
Elle Fanning, 
Harris Dickinson, 
Michelle Pfeiffer
"
"
11.
Wizards of Warna Walk
(2019)
",(2019),6.8,25 min,Approved,"
Drama            ",34,
"
12.
The Lion King
(2019)
",(2019),6.8,118 min,PG,"
Animation, Adventure, Drama            ","262,053","
    Director:
Jon Favreau
| 
    Stars:
Donald Glover, 
Beyoncé, 
Seth Rogen, 
Chiwetel Ejiofor
"
"
13.
Toy Story 4
(2019)
",(2019),7.7,100 min,G,"
Animation, Adventure, Comedy            ","272,874","
    Director:
Josh Cooley
| 
    Stars:
Tom Hanks, 
Tim Allen, 
Annie Potts, 
Tony Hale
"
"
14.
Dark Phoenix
(2019)
",(2019),5.7,113 min,PG-13,"
Action, Adventure, Sci-Fi            ","200,583","
    Director:
Simon Kinberg
| 
    Stars:
James McAvoy, 
Michael Fassbender, 
Jennifer Lawrence, 
Nicholas Hoult
"
"
15.
Aladdin
(2019)
",(2019),6.9,128 min,PG,"
Adventure, Comedy, Family            ","284,808","
    Director:
Guy Ritchie
| 
    Stars:
Will Smith, 
Mena Massoud, 
Naomi Scott, 
Marwan Kenzari
"
"
16.
Avengers: Endgame
(2019)
",(2019),8.4,181 min,PG-13,"
Action, Adventure, Drama            ","1,232,593","
    Directors:
Anthony Russo, 
Joe Russo
| 
    Stars:
Robert Downey Jr., 
Chris Evans, 
Mark Ruffalo, 
Chris Hemsworth
"
"
17.
Dumbo
(2019)
",(2019),6.3,112 min,PG,"
Adventure, Family, Fantasy            ","81,241","
    Director:
Tim Burton
| 
    Stars:
Colin Farrell, 
Michael Keaton, 
Danny DeVito, 
Eva Green
"
"
18.
Captain Marvel
(2019)
",(2019),6.8,123 min,PG-13,"
Action, Adventure, Sci-Fi            ","599,430","
    Directors:
Anna Boden, 
Ryan Fleck
| 
    Stars:
Brie Larson, 
Samuel L. Jackson, 
Ben Mendelsohn, 
Jude Law
"
"
19.
Kim Possible
(2019 TV Movie)
",(2019 TV Movie),3.7,86 min,TV-G,"
Action, Adventure, Comedy            ","3,555","
    Directors:
Zach Lipovsky, 
Adam B. Stein
| 
    Stars:
Sadie Stanley, 
Sean Giambrone, 
Ciara Riley Wilson, 
Taylor Ortega
"
"
20.
The Perfect Game
(2019– )
",(2019– ),0,NA,NA,"
Adventure, Fantasy            ",NA,
"
21.
Mary Poppins Returns
(2018)
",(2018),6.7,130 min,PG,"
Adventure, Comedy, Family            ","93,618","
    Director:
Rob Marshall
| 
    Stars:
Emily Blunt, 
Lin-Manuel Miranda, 
Ben Whishaw, 
Emily Mortimer
"
"
22.
Ralph Breaks the Internet
(2018)
",(2018),7,112 min,PG,"
Animation, Adventure, Comedy            ","177,768","
    Directors:
Phil Johnston, 
Rich Moore
| 
    Stars:
John C. Reilly, 
Sarah Silverman, 
Gal Gadot, 
Taraji P. Henson
"
"
23.
The Nutcracker and the Four Realms
(2018)
",(2018),5.6,99 min,PG,"
Adventure, Family, Fantasy            ","36,420","
    Directors:
Lasse Hallström, 
Joe Johnston
| 
    Stars:
Mackenzie Foy, 
Keira Knightley, 
Morgan Freeman, 
Helen Mirren
"
"
24.
Celebrating Mickey
(2018 Video)
",(2018 Video),8.3,101 min,NA,"
Animation, Comedy, Family            ",34,
"
25.
Freaky Friday
(2018 TV Movie)
",(2018 TV Movie),3.9,90 min,TV-G,"
Comedy, Fantasy, Musical            ","1,649","
    Director:
Steve Carr
| 
    Stars:
Cozi Zuehlsdorff, 
Heidi Blickenstaff, 
Jason Maybaum, 
Alex Désert
"
