title,year,score_x,rotten_tomatoes_score,imdb_score,runtime,rating,genre,gross,director,actors,decade
Raya and the Last Dragon,2021,93%,9.3,7.3,107.0,PG,"['Animation', 'Action', 'Adventure']",166832,"['Don Hall', 'Carlos López Estrada', 'Paul Briggs', 'John Ripa']","['Kelly Marie Tran', 'Awkwafina', 'Gemma Chan', 'Izaac Wang']",2020
Onward,2020,88%,8.8,7.4,102.0,PG,"['Animation', 'Action', 'Adventure']",165156,['Dan Scanlon'],"['Tom Holland', 'Chris Pratt', 'Julia Louis-Dreyfus', 'Octavia Spencer']",2020
Soul,2020,95%,9.5,8.0,100.0,PG,"['Animation', 'Adventure', 'Comedy']",364770,"['Pete Docter', 'Kemp Powers']","['Jamie Foxx', 'Tina Fey', 'Graham Norton', 'Rachel House']",2020
Aladdin,2019,57%,5.7,6.9,128.0,PG,"['Adventure', 'Comedy', 'Family']",284808,['Guy Ritchie'],"['Will Smith', 'Mena Massoud', 'Naomi Scott', 'Marwan Kenzari']",2010
The Lion King,2019,52%,5.2,6.8,118.0,PG,"['Animation', 'Adventure', 'Drama']",262053,['Jon Favreau'],"['Donald Glover', 'Beyoncé', 'Seth Rogen', 'Chiwetel Ejiofor']",2010
Beauty and the Beast,2017,71%,7.1,7.1,129.0,PG,"['Adventure', 'Family', 'Fantasy']",328595,['Bill Condon'],"['Emma Watson', 'Dan Stevens', 'Luke Evans', 'Josh Gad']",2010
Coco,2017,97%,9.7,8.4,105.0,PG,"['Animation', 'Adventure', 'Drama']",568286,"['Lee Unkrich', 'Adrian Molina']","['Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt', 'Alanna Ubach']",2010
Queen of Katwe,2016,94%,9.4,7.4,124.0,PG,"['Biography', 'Drama', 'Sport']",18455,['Mira Nair'],"['Madina Nalwanga', 'David Oyelowo', ""Lupita Nyong'o"", 'Martin Kabanza']",2010
Moana,2016,95%,9.5,7.6,107.0,PG,"['Animation', 'Adventure', 'Comedy']",366688,"['Ron Clements', 'John Musker', 'Don Hall', 'Chris Williams']","[""Auli'i Cravalho"", 'Dwayne Johnson', 'Rachel House', 'Temuera Morrison']",2010
The Jungle Book,2016,94%,9.4,7.4,106.0,PG,"['Animation', 'Adventure', 'Comedy']",288524,['Jon Favreau'],"['Neel Sethi', 'Bill Murray', 'Ben Kingsley', 'Idris Elba']",2010
The BFG,2016,75%,7.5,6.3,117.0,PG,"['Adventure', 'Family', 'Fantasy']",91794,['Steven Spielberg'],"['Mark Rylance', 'Ruby Barnhill', 'Penelope Wilton', 'Jemaine Clement']",2010
Zootopia,2016,98%,9.8,8.0,108.0,PG,"['Animation', 'Adventure', 'Comedy']",533562,"['Byron Howard', 'Rich Moore', 'Jared Bush']","['Ginnifer Goodwin', 'Jason Bateman', 'Idris Elba', 'Jenny Slate']",2010
Cinderella,2015,84%,8.4,6.9,105.0,PG,"['Adventure', 'Drama', 'Family']",187535,['Kenneth Branagh'],"['Lily James', 'Cate Blanchett', 'Richard Madden', 'Helena Bonham Carter']",2010
Inside Out,2015,98%,9.8,8.1,95.0,PG,"['Animation', 'Adventure', 'Comedy']",765659,"['Pete Docter', 'Ronnie Del Carmen']","['Amy Poehler', 'Bill Hader', 'Lewis Black', 'Mindy Kaling']",2010
Big Hero 6,2014,90%,9.0,7.8,102.0,PG,"['Animation', 'Action', 'Adventure']",491301,"['Don Hall', 'Chris Williams']","['Ryan Potter', 'Scott Adsit', 'Jamie Chung', 'T.J. Miller']",2010
Maleficent,2014,54%,5.4,6.9,97.0,PG,"['Action', 'Adventure', 'Drama']",394999,['Robert Stromberg'],"['Angelina Jolie', 'Elle Fanning', 'Sharlto Copley', 'Lesley Manville']",2010
Frozen,2013,90%,9.0,7.4,102.0,PG,"['Animation', 'Adventure', 'Comedy']",653283,"['Chris Buck', 'Jennifer Lee']","['Kristen Bell', 'Idina Menzel', 'Jonathan Groff', 'Josh Gad']",2010
Wreck-It Ralph,2012,87%,8.7,7.7,101.0,PG,"['Animation', 'Adventure', 'Comedy']",449721,['Rich Moore'],"['John C. Reilly', 'Jack McBrayer', 'Jane Lynch', 'Sarah Silverman']",2010
Frankenweenie,2012,88%,8.8,6.9,87.0,PG,"['Animation', 'Comedy', 'Drama']",115576,['Tim Burton'],"['Winona Ryder', ""Catherine O'Hara"", 'Martin Short', 'Martin Landau']",2010
Winnie the Pooh,2011,90%,9.0,7.1,63.0,G,"['Animation', 'Adventure', 'Comedy']",27777,"['Stephen J. Anderson', 'Don Hall']","['Jim Cummings', 'Craig Ferguson', 'John Cleese', 'Bud Luckey']",2010
The Muppets,2011,95%,9.5,7.1,103.0,PG,"['Adventure', 'Comedy', 'Family']",96034,['James Bobin'],"['Amy Adams', 'Jason Segel', 'Chris Cooper', 'Rashida Jones']",2010
Toy Story 3,2010,98%,9.8,8.3,103.0,G,"['Animation', 'Adventure', 'Comedy']",877862,['Lee Unkrich'],"['Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Ned Beatty']",2010
Secretariat,2010,64%,6.4,7.2,123.0,PG,"['Biography', 'Drama', 'Family']",30153,['Randall Wallace'],"['Diane Lane', 'John Malkovich', 'Margo Martindale', 'Nelsan Ellis']",2010
Tangled,2010,89%,8.9,7.7,100.0,PG,"['Animation', 'Adventure', 'Comedy']",483744,"['Nathan Greno', 'Byron Howard']","['Mandy Moore', 'Zachary Levi', 'Donna Murphy', 'Ron Perlman']",2010
Alice in Wonderland,2010,51%,5.1,6.4,108.0,PG,"['Adventure', 'Family', 'Fantasy']",434613,['Tim Burton'],"['Mia Wasikowska', 'Johnny Depp', 'Helena Bonham Carter', 'Anne Hathaway']",2010
The Princess and the Frog,2009,85%,8.5,7.1,97.0,G,"['Animation', 'Adventure', 'Comedy']",162338,"['Ron Clements', 'John Musker']","['Anika Noni Rose', 'Keith David', 'Oprah Winfrey', 'Bruno Campos']",2000
Up,2009,98%,9.8,8.3,96.0,PG,"['Animation', 'Adventure', 'Comedy']",1102464,"['Pete Docter', 'Bob Peterson']","['Edward Asner', 'Jordan Nagai', 'John Ratzenberger', 'Christopher Plummer']",2000
Bolt,2008,90%,9.0,6.8,96.0,PG,"['Animation', 'Adventure', 'Comedy']",225003,"['Byron Howard', 'Chris Williams']","['John Travolta', 'Miley Cyrus', 'Susie Essman', 'Mark Walton']",2000
Enchanted,2007,93%,9.3,7.1,107.0,PG,"['Animation', 'Adventure', 'Comedy']",214576,['Kevin Lima'],"['Amy Adams', 'Susan Sarandon', 'James Marsden', 'Patrick Dempsey']",2000
Bridge to Terabithia,2007,85%,8.5,7.2,96.0,PG,"['Drama', 'Family', 'Fantasy']",169223,['Gabor Csupo'],"['Josh Hutcherson', 'AnnaSophia Robb', 'Zooey Deschanel', 'Robert Patrick']",2000
Ratatouille,2007,96%,9.6,8.1,111.0,G,"['Animation', 'Adventure', 'Comedy']",800746,"['Brad Bird', 'Jan Pinkava']","['Brad Garrett', 'Lou Romano', 'Patton Oswalt', 'Ian Holm']",2000
Cars,2006,75%,7.5,7.2,117.0,G,"['Animation', 'Adventure', 'Comedy']",456301,"['John Lasseter', 'Joe Ranft']","['Owen Wilson', 'Bonnie Hunt', 'Paul Newman', 'Larry the Cable Guy']",2000
Invincible,2006,72%,7.2,7.0,105.0,PG,"['Biography', 'Drama', 'Sport']",74427,['Ericson Core'],"['Mark Wahlberg', 'Greg Kinnear', 'Elizabeth Banks', 'Kevin Conway']",2000
The Incredibles,2004,97%,9.7,8.0,115.0,PG,"['Animation', 'Action', 'Adventure']",789176,['Brad Bird'],"['Craig T. Nelson', 'Samuel L. Jackson', 'Holly Hunter', 'Jason Lee']",2000
The Incredibles,2004,97%,9.7,8.0,115.0,PG,"['Animation', 'Action', 'Adventure']",789176,['Brad Bird'],"['Craig T. Nelson', 'Samuel L. Jackson', 'Holly Hunter', 'Jason Lee']",2000
National Treasure,2004,46%,4.6,6.9,131.0,PG,"['Action', 'Adventure', 'Mystery']",349705,['Jon Turteltaub'],"['Nicolas Cage', 'Diane Kruger', 'Justin Bartha', 'Sean Bean']",2000
Freaky Friday,2003,88%,8.8,6.3,97.0,PG,"['Comedy', 'Family', 'Fantasy']",149580,['Mark Waters'],"['Jamie Lee Curtis', 'Lindsay Lohan', 'Mark Harmon', 'Harold Gould']",2000
Pirates of the Caribbean: The Curse of the Black Pearl,2003,80%,8.0,8.1,143.0,PG-13,"['Action', 'Adventure', 'Fantasy']",1186533,['Gore Verbinski'],"['Johnny Depp', 'Geoffrey Rush', 'Orlando Bloom', 'Keira Knightley']",2000
Finding Nemo,2003,99%,9.9,8.2,100.0,G,"['Animation', 'Adventure', 'Comedy']",1093738,"['Andrew Stanton', 'Lee Unkrich']","['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould', 'Willem Dafoe']",2000
Holes,2003,78%,7.8,7.0,117.0,PG,"['Adventure', 'Comedy', 'Drama']",97833,['Andrew Davis'],"['Shia LaBeouf', 'Sigourney Weaver', 'Jon Voight', 'Tim Blake Nelson']",2000
The Rookie,2002,84%,8.4,6.9,127.0,G,"['Drama', 'Family', 'Sport']",36657,['John Lee Hancock'],"['Dennis Quaid', 'JD Evermore', 'Rachel Griffiths', 'Jay Hernandez']",2000
Lilo & Stitch,2002,87%,8.7,7.3,85.0,PG,"['Animation', 'Adventure', 'Comedy']",206964,"['Dean DeBlois', 'Chris Sanders']","['Daveigh Chase', 'Chris Sanders', 'Tia Carrere', 'David Ogden Stiers']",2000
"Monsters, Inc.",2001,96%,9.6,8.1,92.0,G,"['Animation', 'Adventure', 'Comedy']",959811,"['Pete Docter', 'David Silverman', 'Lee Unkrich']","['Billy Crystal', 'John Goodman', 'Mary Gibbs', 'Steve Buscemi']",2000
The Emperor's New Groove,2000,86%,8.6,7.4,78.0,G,"['Animation', 'Adventure', 'Comedy']",220416,['Mark Dindal'],"['David Spade', 'John Goodman', 'Eartha Kitt', 'Patrick Warburton']",2000
Remember the Titans,2000,72%,7.2,7.8,113.0,PG,"['Biography', 'Drama', 'Sport']",228307,['Boaz Yakin'],"['Denzel Washington', 'Will Patton', 'Wood Harris', 'Ryan Hurst']",2000
The Straight Story,1999,94%,9.4,8.0,112.0,G,"['Biography', 'Drama']",95774,['David Lynch'],"['Richard Farnsworth', 'Sissy Spacek', 'Jane Galloway Heitz', 'Joseph A. Carpenter']",1990
Toy Story 2,1999,100%,10.0,7.9,92.0,G,"['Animation', 'Adventure', 'Comedy']",609772,"['John Lasseter', 'Ash Brannon', 'Lee Unkrich']","['Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Kelsey Grammer']",1990
Tarzan,1999,89%,8.9,7.3,88.0,G,"['Animation', 'Adventure', 'Comedy']",242382,"['Chris Buck', 'Kevin Lima']","['Tony Goldwyn', 'Minnie Driver', 'Brian Blessed', 'Glenn Close']",1990
The Parent Trap,1998,87%,8.7,6.6,128.0,PG,"['Adventure', 'Comedy', 'Drama']",150867,['Nancy Meyers'],"['Lindsay Lohan', 'Dennis Quaid', 'Natasha Richardson', 'Elaine Hendrix']",1990
Mulan,1998,86%,8.6,7.7,87.0,G,"['Animation', 'Adventure', 'Comedy']",309288,"['Tony Bancroft', 'Barry Cook']","['Ming-Na Wen', 'Eddie Murphy', 'BD Wong', 'Miguel Ferrer']",1990
Hercules,1997,82%,8.2,7.3,93.0,G,"['Animation', 'Adventure', 'Comedy']",249525,"['Ron Clements', 'John Musker']","['Tate Donovan', 'Susan Egan', 'James Woods', 'Barbara Barrie']",1990
The Hunchback of Notre Dame,1996,71%,7.1,7.0,91.0,G,"['Animation', 'Drama', 'Family']",168698,"['Gary Trousdale', 'Kirk Wise']","['Demi Moore', 'Jason Alexander', 'Mary Kay Bergman', 'Corey Burton']",1990
James and the Giant Peach,1996,91%,9.1,6.7,79.0,PG,"['Animation', 'Adventure', 'Family']",73019,['Henry Selick'],"['Paul Terry', 'Joanna Lumley', 'Pete Postlethwaite', 'Simon Callow']",1990
Toy Story,1995,100%,10.0,8.3,81.0,G,"['Animation', 'Adventure', 'Comedy']",1048622,['John Lasseter'],"['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney']",1990
Pocahontas,1995,54%,5.4,6.7,81.0,G,"['Animation', 'Adventure', 'Drama']",199592,"['Mike Gabriel', 'Eric Goldberg']","['Mel Gibson', 'Linda Hunt', 'Christian Bale', 'Joe Baker']",1990
The Lion King,1994,93%,9.3,8.5,88.0,G,"['Animation', 'Adventure', 'Drama']",1118724,"['Roger Allers', 'Rob Minkoff']","['Matthew Broderick', 'Jeremy Irons', 'James Earl Jones', 'Whoopi Goldberg']",1990
The Santa Clause,1994,73%,7.3,6.5,97.0,PG,"['Comedy', 'Drama', 'Family']",129644,['John Pasquin'],"['Tim Allen', 'Judge Reinhold', 'Wendy Crewson', 'Eric Lloyd']",1990
Homeward Bound: The Incredible Journey,1993,87%,8.7,6.9,84.0,G,"['Adventure', 'Comedy', 'Drama']",50273,['Duwayne Dunham'],"['Michael J. Fox', 'Sally Field', 'Don Alder', 'Ed Bernard']",1990
Cool Runnings,1993,76%,7.6,7.0,98.0,PG,"['Adventure', 'Comedy', 'Family']",111583,['Jon Turteltaub'],"['John Candy', 'Leon', 'Doug E. Doug', 'Rawle D. Lewis']",1990
Hocus Pocus,1993,40%,4.0,6.9,96.0,PG,"['Comedy', 'Family', 'Fantasy']",154392,['Kenny Ortega'],"['Bette Midler', 'Sarah Jessica Parker', 'Kathy Najimy', 'Omri Katz']",1990
