title,year,score,actors,director,comparison_score
The Little Mermaid,2023,67%,"['Halle Bailey', ' Jonah Hauer-King', ' Javier Bardem', ' Melissa McCarthy']",['Rob Marshall'],6.7
Turning Red,2022,95%,"['Rosalie Chiang', ' Sandra Oh', ' Ava Morse', ' Hyein Park']",['Domee Shi'],9.5
Raya and the Last Dragon,2021,93%,"['Kelly Marie Tran', ' Awkwafina', ' Izaac Wang', ' Gemma Chan']","['Don Hall', ' Carlos López Estrada']",9.3
Encanto,2021,92%,"['Stephanie Beatriz', ' María Cecilia Botero', ' Diane Guerrero', ' Angie Cepeda']","['Jared Bush', ' Byron Howard']",9.2
Onward,2020,88%,"['Tom Holland', ' Chris Pratt', ' Julia Louis-Dreyfus', ' Octavia Spencer']",['Dan Scanlon'],8.8
Soul,2020,95%,"['Jamie Foxx', ' Tina Fey', ' Phylicia Rashad', ' Ahmir ""Questlove"" Thompson']",['Pete Docter'],9.5
Aladdin,2019,57%,"['Will Smith', ' Mena Massoud', ' Naomi Scott', ' Marwan Kenzari']",['Guy Ritchie'],5.7
The Lion King,2019,52%,"['Donald Glover', ' Seth Rogen', ' Chiwetel Ejiofor', ' Alfre Woodard']",['Jon Favreau'],5.2
Beauty and the Beast,2017,71%,"['Emma Watson', ' Dan Stevens', ' Luke Evans', ' Kevin Kline']",['Bill Condon'],7.1
Coco,2017,97%,"['Anthony Gonzalez', ' Gael García Bernal', ' Benjamin Bratt', ' Alanna Ubach']",['Lee Unkrich'],9.7
Queen of Katwe,2016,94%,"['Madina Nalwanga', ' David Oyelowo', "" Lupita Nyong'o"", ' Martin Kabanza']",['Mira Nair'],9.4
Moana,2016,95%,"['Dwayne Johnson', "" Auli'i Cravalho"", ' Rachel House', ' Temuera Morrison']","['John Musker', ' Ron Clements']",9.5
The Jungle Book,2016,94%,"['Neel Sethi', ' Bill Murray', ' Ben Kingsley', ' Idris Elba']",['Jon Favreau'],9.4
The BFG,2016,75%,"['Mark Rylance', ' Ruby Barnhill', ' Penelope Wilton', ' Jemaine Clement']",['Steven Spielberg'],7.5
Zootopia,2016,98%,"['Ginnifer Goodwin', ' Jason Bateman', ' Shakira', ' Idris Elba']","['Byron Howard', ' Rich Moore']",9.8
Cinderella,2015,84%,"['Cate Blanchett', ' Lily James', ' Richard Madden', ' Helena Bonham Carter']",['Kenneth Branagh'],8.4
Inside Out,2015,98%,"['Amy Poehler', ' Phyllis Smith', ' Richard Kind', ' Bill Hader']",['Pete Docter'],9.8
Big Hero 6,2014,90%,"['Ryan Potter', ' Scott Adsit', ' T.J. Miller', ' Jamie Chung']","['Don Hall', ' Chris Williams']",9.0
Maleficent,2014,54%,"['Angelina Jolie', ' Elle Fanning', ' Sharlto Copley', ' Lesley Manville']",['Robert Stromberg'],5.4
Frozen,2013,90%,"['Kristen Bell', ' Idina Menzel', ' Jonathan Groff', ' Josh Gad']","['Chris Buck', ' Jennifer Lee']",9.0
