title,year,score,actors,director
"
The Little Mermaid (2023)  67%
",(2023),67%,"
Starring: Halle Bailey, Jonah Hauer-King, Javier Bardem, Melissa McCarthy","
Directed By: Rob Marshall"
"
Turning Red (2022)  95%
",(2022),95%,"
Starring: Rosalie Chiang, Sandra Oh, Ava Morse, Hyein Park","
Directed By: Domee Shi"
"
Raya and the Last Dragon (2021)  93%
",(2021),93%,"
Starring: Kelly Marie Tran, Awkwafina, Izaac Wang, Gemma Chan","
Directed By: Don Hall, Carlos López Estrada"
"
Encanto (2021)  92%
",(2021),92%,"
Starring: Stephanie Beatriz, María Cecilia Botero, Diane Guerrero, Angie Cepeda","
Directed By: Jared Bush, Byron Howard"
"
Onward (2020)  88%
",(2020),88%,"
Starring: Tom Holland, Chris Pratt, Julia Louis-Dreyfus, Octavia Spencer","
Directed By: Dan Scanlon"
"
Soul (2020)  95%
",(2020),95%,"
Starring: Jamie Foxx, Tina Fey, Phylicia Rashad, Ahmir ""Questlove"" Thompson","
Directed By: Pete Docter"
"
Aladdin (2019)  57%
",(2019),57%,"
Starring: Will Smith, Mena Massoud, Naomi Scott, Marwan Kenzari","
Directed By: Guy Ritchie"
"
The Lion King (2019)  52%
",(2019),52%,"
Starring: Donald Glover, Seth Rogen, Chiwetel Ejiofor, Alfre Woodard","
Directed By: Jon Favreau"
"
Beauty and the Beast (2017)  71%
",(2017),71%,"
Starring: Emma Watson, Dan Stevens, Luke Evans, Kevin Kline","
Directed By: Bill Condon"
"
Coco (2017)  97%
",(2017),97%,"
Starring: Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach","
Directed By: Lee Unkrich"
"
Queen of Katwe (2016)  94%
",(2016),94%,"
Starring: Madina Nalwanga, David Oyelowo, Lupita Nyong'o, Martin Kabanza","
Directed By: Mira Nair"
"
Moana (2016)  95%
",(2016),95%,"
Starring: Dwayne Johnson, Auli'i Cravalho, Rachel House, Temuera Morrison","
Directed By: John Musker, Ron Clements"
"
The Jungle Book (2016)  94%
",(2016),94%,"
Starring: Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba","
Directed By: Jon Favreau"
"
The BFG (2016)  75%
",(2016),75%,"
Starring: Mark Rylance, Ruby Barnhill, Penelope Wilton, Jemaine Clement","
Directed By: Steven Spielberg"
"
Zootopia (2016)  98%
",(2016),98%,"
Starring: Ginnifer Goodwin, Jason Bateman, Shakira, Idris Elba","
Directed By: Byron Howard, Rich Moore"
"
Cinderella (2015)  84%
",(2015),84%,"
Starring: Cate Blanchett, Lily James, Richard Madden, Helena Bonham Carter","
Directed By: Kenneth Branagh"
"
Inside Out (2015)  98%
",(2015),98%,"
Starring: Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader","
Directed By: Pete Docter"
"
Big Hero 6 (2014)  90%
",(2014),90%,"
Starring: Ryan Potter, Scott Adsit, T.J. Miller, Jamie Chung","
Directed By: Don Hall, Chris Williams"
"
Maleficent (2014)  54%
",(2014),54%,"
Starring: Angelina Jolie, Elle Fanning, Sharlto Copley, Lesley Manville","
Directed By: Robert Stromberg"
"
Frozen (2013)  90%
",(2013),90%,"
Starring: Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad","
Directed By: Chris Buck, Jennifer Lee"
"
Wreck-It Ralph (2012)  87%
",(2012),87%,"
Starring: John C. Reilly, Sarah Silverman, Jack McBrayer, Jane Lynch","
Directed By: Rich Moore"
"
Frankenweenie (2012)  88%
",(2012),88%,"
Starring: Catherine O'Hara, Martin Short, Martin Landau, Charlie Tahan","
Directed By: Tim Burton"
"
Winnie the Pooh (2011)  90%
",(2011),90%,"
Starring: Jim Cummings, Bud Luckey, Craig Ferguson, Jack Boulter","
Directed By: Stephen J. Anderson, Don Hall"
"
The Muppets (2011)  95%
",(2011),95%,"
Starring: Jason Segel, Amy Adams, Chris Cooper, Rashida Jones","
Directed By: James Bobin"
"
Toy Story 3 (2010)  98%
",(2010),98%,"
Starring: Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty","
Directed By: Lee Unkrich"
"
Secretariat (2010)  64%
",(2010),64%,"
Starring: Diane Lane, John Malkovich, Dylan Walsh, Dylan Baker","
Directed By: Randall Wallace"
"
Tangled (2010)  89%
",(2010),89%,"
Starring: Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman","
Directed By: Nathan Greno, Byron Howard"
"
Alice in Wonderland (2010)  51%
",(2010),51%,"
Starring: Johnny Depp, Mia Wasikowska, Helena Bonham Carter, Anne Hathaway","
Directed By: Tim Burton"
"
The Princess and the Frog (2009)  85%
",(2009),85%,"
Starring: Anika Noni Rose, Bruno Campos, Keith David, Michael-Leon Wooley","
Directed By: Ron Clements, John Musker"
"
Up (2009)  98%
",(2009),98%,"
Starring: Ed Asner, Christopher Plummer, Jordan Nagai, Bob Peterson","
Directed By: Pete Docter, Bob Peterson"
"
Bolt (2008)  90%
",(2008),90%,"
Starring: John Travolta, Miley Cyrus, Susie Essman, Mark Walton","
Directed By: Chris Williams, Byron Howard"
"
WALL-E (2008)  95%
",(2008),95%,"
Starring: Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard","
Directed By: Andrew Stanton"
"
Enchanted (2007)  93%
",(2007),93%,"
Starring: Amy Adams, Patrick Dempsey, James Marsden, Timothy Spall","
Directed By: Kevin Lima"
"
Bridge to Terabithia (2007)  85%
",(2007),85%,"
Starring: Josh Hutcherson, AnnaSophia Robb, Zooey Deschanel, Robert Patrick","
Directed By: Gabor Csupo"
"
Ratatouille (2007)  96%
",(2007),96%,"
Starring: Patton Oswalt, Ian Holm, Lou Romano, Brian Dennehy","
Directed By: Brad Bird"
"
Cars (2006)  75%
",(2006),75%,"
Starring: Owen Wilson, Paul Newman, Bonnie Hunt, Larry the Cable Guy","
Directed By: John Lasseter"
"
Invincible (2006)  72%
",(2006),72%,"
Starring: Mark Wahlberg, Greg Kinnear, Elizabeth Banks, Kevin Conway","
Directed By: Ericson Core"
